Diagnosis,ICD-10 Code,ICD Description,Similarity Score,Justification,Alternative Suggestions,Needs Review
Hypo-osmolality and hyponatremia,A00.9,,0.04327454790472984,The diagnosis 'Hypo-osmolality and hyponatremia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
"Hypoglycemia, unspecified",Z98.41,,0.041602056473493576,"The diagnosis 'Hypoglycemia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Hypokalemia,A01.00,,0.15415239334106445,The diagnosis 'Hypokalemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Hypopotassemia,Z98.41,,0.07908393442630768,The diagnosis 'Hypopotassemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Hyposmolality and/or hyponatremia,A01.00,,0.02572018653154373,The diagnosis 'Hyposmolality and/or hyponatremia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Hypospadias,A00.9,,0.18857382237911224,The diagnosis 'Hypospadias' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
"Hypotension, unspecified",Z98.41,,0.09328329563140869,"The diagnosis 'Hypotension, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Hypothermia not associated with low environmental temperature,Z98.41,,-0.07068924605846405,The diagnosis 'Hypothermia not associated with low environmental temperature' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Hypothermia, not associated with low environmental temperature",Z98.41,,-0.07068924605846405,"The diagnosis 'Hypothermia, not associated with low environmental temperature' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Hypothyroidism, unspecified",Z98.41,,-0.012371641583740711,"The diagnosis 'Hypothyroidism, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Hypovolemia,Z98.41,,0.1837174892425537,The diagnosis 'Hypovolemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Hypovolemic shock,A01.00,,0.0857827365398407,The diagnosis 'Hypovolemic shock' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Hypoxemia,A01.00,,0.07213877886533737,The diagnosis 'Hypoxemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Iatrogenic cerebrovascular infarction or hemorrhage,A01.00,,0.06559598445892334,The diagnosis 'Iatrogenic cerebrovascular infarction or hemorrhage' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Iatrogenic pneumothorax,A01.00,,0.05217859148979187,The diagnosis 'Iatrogenic pneumothorax' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Idiopathic gout, unspecified site",A01.00,,0.06424544006586075,"The diagnosis 'Idiopathic gout, unspecified site' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Ileus, unspecified",A01.00,,0.2048492133617401,"The diagnosis 'Ileus, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Impacted cerumen, unspecified ear",A01.00,,0.032046254724264145,"The diagnosis 'Impacted cerumen, unspecified ear' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Impaired fasting glucose,A01.00,,0.024120915681123734,The diagnosis 'Impaired fasting glucose' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Impaired glucose tolerance test (oral),Z98.41,,-0.0005975635722279549,The diagnosis 'Impaired glucose tolerance test (oral)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Infarction of spleen,A01.00,,0.16238225996494293,The diagnosis 'Infarction of spleen' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, initial encounter",A01.00,,0.08082704246044159,"The diagnosis 'Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system, initial encounter",A01.00,,0.05417248606681824,"The diagnosis 'Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Infection following a procedure, initial encounter",A01.00,,0.07181937247514725,"The diagnosis 'Infection following a procedure, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Infection with microorganisms resistant to penicillins,A01.00,,0.05866687372326851,The diagnosis 'Infection with microorganisms resistant to penicillins' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Infective otitis externa, unspecified",A01.00,,0.036323126405477524,"The diagnosis 'Infective otitis externa, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Influenza with pneumonia,A00.9,,0.043894533067941666,The diagnosis 'Influenza with pneumonia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,A01.00,,0.03064611181616783,The diagnosis 'Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Injury to liver without mention of open wound into cavity laceration, unspecified",A01.00,,0.060854747891426086,"The diagnosis 'Injury to liver without mention of open wound into cavity laceration, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Injury to liver without mention of open wound into cavity, hematoma and contusion",A01.00,,0.05556406080722809,"The diagnosis 'Injury to liver without mention of open wound into cavity, hematoma and contusion' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Injury to other gastrointestinal sites, without mention of open wound into cavity",A01.00,,0.0092144925147295,"The diagnosis 'Injury to other gastrointestinal sites, without mention of open wound into cavity' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland",Z98.41,,0.05461915209889412,"The diagnosis 'Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum",A01.00,,0.018231436610221863,"The diagnosis 'Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Injury to thoracic aorta,A01.00,,0.05377362668514252,The diagnosis 'Injury to thoracic aorta' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Insomnia, unspecified",Z98.41,,0.05628090351819992,"The diagnosis 'Insomnia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Intermediate coronary syndrome,Z98.41,,0.08912070095539093,The diagnosis 'Intermediate coronary syndrome' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Intestinal adhesions [bands] with obstruction (postinfection),A01.00,,0.054861195385456085,The diagnosis 'Intestinal adhesions [bands] with obstruction (postinfection)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Intestinal bypass and anastomosis status,Z98.41,,0.010515530593693256,The diagnosis 'Intestinal bypass and anastomosis status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Intestinal bypass or anastomosis status,Z98.41,,0.01936032436788082,The diagnosis 'Intestinal bypass or anastomosis status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Intestinal infection due to Clostridium difficile,A01.00,,0.022712279111146927,The diagnosis 'Intestinal infection due to Clostridium difficile' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Intestinal infection due to other organism, not elsewhere classified",A01.00,,0.0035812142305076122,"The diagnosis 'Intestinal infection due to other organism, not elsewhere classified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Intracerebral hemorrhage,A01.00,,0.022507240995764732,The diagnosis 'Intracerebral hemorrhage' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Intracranial abscess,A01.00,,0.09827295690774918,The diagnosis 'Intracranial abscess' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Intravenous anesthetics causing adverse effects in therapeutic use,Z98.41,,0.007029048632830381,The diagnosis 'Intravenous anesthetics causing adverse effects in therapeutic use' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Iron deficiency anemia secondary to blood loss (chronic),A01.00,,0.04160532355308533,The diagnosis 'Iron deficiency anemia secondary to blood loss (chronic)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Iron deficiency anemia, unspecified",Z98.41,,0.0667441338300705,"The diagnosis 'Iron deficiency anemia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Irritable bowel syndrome,A01.00,,0.027941659092903137,The diagnosis 'Irritable bowel syndrome' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Ischemic cardiomyopathy,Z98.41,,0.04291125386953354,The diagnosis 'Ischemic cardiomyopathy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Jaundice, unspecified, not of newborn",A01.00,,0.009034194052219391,"The diagnosis 'Jaundice, unspecified, not of newborn' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,A01.00,,0.001380245666950941,The diagnosis 'Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Knee joint replacement,A01.00,,0.03555736318230629,The diagnosis 'Knee joint replacement' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Laceration of intercostal blood vessels, left side, initial encounter",A01.00,,0.09020595252513885,"The diagnosis 'Laceration of intercostal blood vessels, left side, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Lack of coordination,A01.00,,0.13139066100120544,The diagnosis 'Lack of coordination' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Lack of housing,A01.00,,0.13972674310207367,The diagnosis 'Lack of housing' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Laparoscopic surgical procedure converted to open procedure,A01.00,,0.002353530377149582,The diagnosis 'Laparoscopic surgical procedure converted to open procedure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Late effect of certain complications of trauma,A01.00,,0.07392144203186035,The diagnosis 'Late effect of certain complications of trauma' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Late effects of cerebrovascular disease, aphasia",A01.00,,-0.025240439921617508,"The diagnosis 'Late effects of cerebrovascular disease, aphasia' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Late effects of cerebrovascular disease, cognitive deficits",A01.00,,-0.013979965820908546,"The diagnosis 'Late effects of cerebrovascular disease, cognitive deficits' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",Z98.41,,0.030060913413763046,"The diagnosis 'Late effects of cerebrovascular disease, hemiplegia affecting unspecified side' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Late effects of motor vehicle accident,A01.00,,0.0681266039609909,The diagnosis 'Late effects of motor vehicle accident' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Left bundle-branch block, unspecified",Z98.41,,0.09809502959251404,"The diagnosis 'Left bundle-branch block, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Left upper quadrant pain,A01.00,,0.04320389777421951,The diagnosis 'Left upper quadrant pain' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Legal blindness, as defined in USA",A00.9,,0.06059415638446808,"The diagnosis 'Legal blindness, as defined in USA' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
Lens replaced by other means,A01.00,,0.024120688438415527,The diagnosis 'Lens replaced by other means' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Leukemia, unspecified not having achieved remission",A01.00,,0.05488082394003868,"The diagnosis 'Leukemia, unspecified not having achieved remission' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Leukocytosis, unspecified",Z98.41,,0.06155748665332794,"The diagnosis 'Leukocytosis, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Local infection due to central venous catheter,A00.9,,0.06761786341667175,The diagnosis 'Local infection due to central venous catheter' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",Z98.41,,-0.016638362780213356,"The diagnosis 'Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Localized edema,A01.00,,0.0667639970779419,The diagnosis 'Localized edema' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Localized skin eruption due to drugs and medicaments taken internally,A01.00,,0.0491158701479435,The diagnosis 'Localized skin eruption due to drugs and medicaments taken internally' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Localized swelling, mass and lump, left upper limb",A00.9,,0.025502938777208328,"The diagnosis 'Localized swelling, mass and lump, left upper limb' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
"Localized swelling, mass and lump, unspecified lower limb",A01.00,,0.01017201878130436,"The diagnosis 'Localized swelling, mass and lump, unspecified lower limb' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Long QT syndrome,A01.00,,0.04162052273750305,The diagnosis 'Long QT syndrome' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Long term (current) use of antibiotics,A01.00,,0.03746694326400757,The diagnosis 'Long term (current) use of antibiotics' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Long term (current) use of anticoagulants,A01.00,,-0.008745445869863033,The diagnosis 'Long term (current) use of anticoagulants' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Long term (current) use of antithrombotics/antiplatelets,A01.00,,-0.007441973779350519,The diagnosis 'Long term (current) use of antithrombotics/antiplatelets' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Long term (current) use of aspirin,A01.00,,0.0036850208416581154,The diagnosis 'Long term (current) use of aspirin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Long term (current) use of insulin,Z98.41,,0.007748788688331842,The diagnosis 'Long term (current) use of insulin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Long term (current) use of opiate analgesic,Z98.41,,0.03307213634252548,The diagnosis 'Long term (current) use of opiate analgesic' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Long term (current) use of oral hypoglycemic drugs,Z98.41,,-0.010497991926968098,The diagnosis 'Long term (current) use of oral hypoglycemic drugs' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Long term (current) use of selective estrogen receptor modulators (SERMs),Z98.41,,0.013950911350548267,The diagnosis 'Long term (current) use of selective estrogen receptor modulators (SERMs)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Long-term (current) use of anticoagulants,Z98.41,,-0.021011728793382645,The diagnosis 'Long-term (current) use of anticoagulants' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Long-term (current) use of antiplatelet/antithrombotic,Z98.41,,0.019150184467434883,The diagnosis 'Long-term (current) use of antiplatelet/antithrombotic' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Long-term (current) use of aspirin,A01.00,,-0.02118699438869953,The diagnosis 'Long-term (current) use of aspirin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Long-term (current) use of insulin,Z98.41,,-0.008902326226234436,The diagnosis 'Long-term (current) use of insulin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Loss of weight,A01.00,,0.10078416764736176,The diagnosis 'Loss of weight' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Low back pain,A01.00,,0.08078093826770782,The diagnosis 'Low back pain' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Lower abdominal pain, unspecified",A01.00,,0.07973410189151764,"The diagnosis 'Lower abdominal pain, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Lumbosacral spondylosis without myelopathy,A01.00,,0.00817465502768755,The diagnosis 'Lumbosacral spondylosis without myelopathy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Lump or mass in breast,Z98.41,,0.06634838879108429,The diagnosis 'Lump or mass in breast' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Macular degeneration (senile), unspecified",Z98.41,,0.03685790300369263,"The diagnosis 'Macular degeneration (senile), unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",A01.00,,0.06985628604888916,"The diagnosis 'Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Major depressive disorder, recurrent, in remission, unspecified",Z98.41,,0.04182763770222664,"The diagnosis 'Major depressive disorder, recurrent, in remission, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Major depressive disorder, single episode, in full remission",Z98.41,,0.05942434445023537,"The diagnosis 'Major depressive disorder, single episode, in full remission' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Major depressive disorder, single episode, severe with psychotic features",Z98.41,,0.07060613483190536,"The diagnosis 'Major depressive disorder, single episode, severe with psychotic features' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Major depressive disorder, single episode, unspecified",Z98.41,,0.09927070885896683,"The diagnosis 'Major depressive disorder, single episode, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Malignant neoplasm of anal canal,A01.00,,0.05536447465419769,The diagnosis 'Malignant neoplasm of anal canal' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Malignant neoplasm of anus, unspecified site",A01.00,,0.057739078998565674,"The diagnosis 'Malignant neoplasm of anus, unspecified site' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Malignant neoplasm of body of pancreas,Z98.41,,0.02074982039630413,The diagnosis 'Malignant neoplasm of body of pancreas' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Malignant neoplasm of bronchus and lung, unspecified",A01.00,,0.02709965594112873,"The diagnosis 'Malignant neoplasm of bronchus and lung, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Malignant neoplasm of central portion of female breast,Z98.41,,0.0683148056268692,The diagnosis 'Malignant neoplasm of central portion of female breast' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Malignant neoplasm of descended left testis,A01.00,,0.07065732032060623,The diagnosis 'Malignant neoplasm of descended left testis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Malignant neoplasm of gallbladder,A01.00,,0.008392979390919209,The diagnosis 'Malignant neoplasm of gallbladder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Malignant neoplasm of intrahepatic bile ducts,A01.00,,0.01657983660697937,The diagnosis 'Malignant neoplasm of intrahepatic bile ducts' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Malignant neoplasm of left main bronchus,A01.00,,0.061120107769966125,The diagnosis 'Malignant neoplasm of left main bronchus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Malignant neoplasm of left testis, unspecified whether descended or undescended",Z98.41,,0.06317127496004105,"The diagnosis 'Malignant neoplasm of left testis, unspecified whether descended or undescended' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Malignant neoplasm of liver, secondary",A01.00,,0.019952058792114258,"The diagnosis 'Malignant neoplasm of liver, secondary' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Malignant neoplasm of lower lobe, bronchus or lung",A01.00,,0.010654933750629425,"The diagnosis 'Malignant neoplasm of lower lobe, bronchus or lung' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Malignant neoplasm of lower third of esophagus,A01.00,,0.022816728800535202,The diagnosis 'Malignant neoplasm of lower third of esophagus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Malignant neoplasm of main bronchus,A01.00,,0.029676655307412148,The diagnosis 'Malignant neoplasm of main bronchus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Malignant neoplasm of other and unspecified sites of male breast,Z98.41,,0.06723612546920776,The diagnosis 'Malignant neoplasm of other and unspecified sites of male breast' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",Z98.41,,0.02826467901468277,"The diagnosis 'Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Malignant neoplasm of rectosigmoid junction,Z98.41,,0.03928419202566147,The diagnosis 'Malignant neoplasm of rectosigmoid junction' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Malignant neoplasm of rectum,Z98.41,,0.07162371277809143,The diagnosis 'Malignant neoplasm of rectum' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Malignant neoplasm of right main bronchus,Z98.41,,0.060861509293317795,The diagnosis 'Malignant neoplasm of right main bronchus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Malignant neoplasm of thyroid gland,A01.00,,-0.028641991317272186,The diagnosis 'Malignant neoplasm of thyroid gland' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Malignant neoplasm of tongue, unspecified",Z98.41,,0.05186863988637924,"The diagnosis 'Malignant neoplasm of tongue, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Malignant neoplasm of unspecified part of unspecified bronchus or lung,A01.00,,0.04711180925369263,The diagnosis 'Malignant neoplasm of unspecified part of unspecified bronchus or lung' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",Z98.41,,0.048638008534908295,"The diagnosis 'Malignant neoplasm of unspecified testis, unspecified whether descended or undescended' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Malignant pleural effusion,A01.00,,0.0020870529115200043,The diagnosis 'Malignant pleural effusion' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Manic episode, unspecified",Z98.41,,0.17699593305587769,"The diagnosis 'Manic episode, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Mechanical complication due to insulin pump,Z98.41,,-0.011324172839522362,The diagnosis 'Mechanical complication due to insulin pump' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Mechanical complication of automatic implantable cardiac defibrillator,Z98.41,,0.03542638570070267,The diagnosis 'Mechanical complication of automatic implantable cardiac defibrillator' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Mechanical complication of nervous system device, implant, and graft",A01.00,,0.06635113060474396,"The diagnosis 'Mechanical complication of nervous system device, implant, and graft' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Mechanical complication of other vascular device, implant, and graft",A00.9,,0.0664234384894371,"The diagnosis 'Mechanical complication of other vascular device, implant, and graft' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
Melena,A01.00,,0.22130754590034485,The diagnosis 'Melena' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Metabolic encephalopathy,Z98.41,,-0.03407863900065422,The diagnosis 'Metabolic encephalopathy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Metabolic syndrome,Z98.41,,0.07311060279607773,The diagnosis 'Metabolic syndrome' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,Z98.41,,-0.049073219299316406,The diagnosis 'Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere,A01.00,,-0.01916663534939289,The diagnosis 'Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
